week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-019,STR-007,95,60,138,17,False
2024-01-01,BEV-020,STR-007,216,21,118,119,False
2024-01-01,BEV-001,STR-008,189,62,71,180,False
2024-01-01,BEV-002,STR-008,145,115,49,211,False
2024-01-01,BEV-003,STR-008,287,96,82,301,False
2024-01-01,BEV-004,STR-008,256,144,77,323,False
2024-01-01,BEV-005,STR-008,176,40,194,22,False
2024-01-01,BEV-006,STR-008,226,131,20,337,False
2024-01-01,BEV-007,STR-008,136,96,20,212,False
2024-01-01,BEV-008,STR-008,139,118,115,142,False
2024-01-01,BEV-009,STR-008,271,54,67,258,False
2024-01-01,BEV-010,STR-008,205,86,33,258,False
2024-01-01,BEV-011,STR-008,292,106,69,329,False
2024-01-01,BEV-012,STR-008,127,64,96,95,False
2024-01-01,BEV-013,STR-008,154,87,88,153,False
2024-01-01,BEV-014,STR-008,275,111,184,202,False
2024-01-01,BEV-015,STR-008,151,117,168,100,False
2024-01-01,BEV-016,STR-008,94,110,113,91,False
2024-01-01,BEV-017,STR-008,221,136,42,315,False
2024-01-01,BEV-018,STR-008,81,144,29,196,False
2024-01-01,BEV-019,STR-008,122,90,77,135,False
2024-01-01,BEV-020,STR-008,223,105,88,240,False
2024-01-01,BEV-001,STR-009,107,90,35,162,False
2024-01-01,BEV-002,STR-009,293,126,21,398,False
2024-01-01,BEV-003,STR-009,209,26,80,155,False
2024-01-01,BEV-004,STR-009,117,126,52,191,False
2024-01-01,BEV-005,STR-009,165,101,131,135,False
2024-01-01,BEV-006,STR-009,152,21,79,94,False
2024-01-01,BEV-007,STR-009,121,100,114,107,False
2024-01-01,BEV-008,STR-009,227,25,54,198,False
2024-01-01,BEV-009,STR-009,218,93,109,202,False
2024-01-01,BEV-010,STR-009,294,59,45,308,False
2024-01-01,BEV-011,STR-009,207,55,53,209,False
2024-01-01,BEV-012,STR-009,182,66,26,222,False
2024-01-01,BEV-013,STR-009,177,45,175,47,False
2024-01-01,BEV-014,STR-009,260,146,55,351,False
2024-01-01,BEV-015,STR-009,127,46,92,81,False
2024-01-01,BEV-016,STR-009,125,86,184,27,False
2024-01-01,BEV-017,STR-009,202,91,115,178,False
2024-01-01,BEV-018,STR-009,160,84,81,163,False
2024-01-01,BEV-019,STR-009,150,55,31,174,False
2024-01-01,BEV-020,STR-009,146,102,50,198,False
2024-01-01,BEV-001,STR-010,249,86,81,254,False
2024-01-01,BEV-002,STR-010,177,88,108,157,False
2024-01-01,BEV-003,STR-010,256,56,78,234,False
2024-01-01,BEV-004,STR-010,125,75,119,81,False
2024-01-01,BEV-005,STR-010,198,82,38,242,False
2024-01-01,BEV-006,STR-010,157,49,147,59,False
2024-01-01,BEV-007,STR-010,175,82,35,222,False
2024-01-01,BEV-008,STR-010,194,128,118,204,False
2024-01-01,BEV-009,STR-010,155,42,71,126,False
2024-01-01,BEV-010,STR-010,192,121,164,149,False
2024-01-01,BEV-011,STR-010,125,70,72,123,False
2024-01-01,BEV-012,STR-010,246,82,105,223,False
2024-01-01,BEV-013,STR-010,148,39,112,75,False
2024-01-01,BEV-014,STR-010,198,42,69,171,False
2024-01-01,BEV-015,STR-010,249,46,36,259,False
2024-01-01,BEV-016,STR-010,170,99,26,243,False
2024-01-01,BEV-017,STR-010,231,28,59,200,False
2024-01-01,BEV-018,STR-010,209,90,114,185,False
2024-01-01,BEV-019,STR-010,158,40,88,110,False
2024-01-01,BEV-020,STR-010,179,32,65,146,False
2024-01-01,BEV-001,STR-011,276,130,139,267,False
2024-01-01,BEV-002,STR-011,182,122,58,246,False
2024-01-01,BEV-003,STR-011,249,128,109,268,False
2024-01-01,BEV-004,STR-011,199,145,86,258,False
2024-01-01,BEV-005,STR-011,208,20,111,117,False
2024-01-01,BEV-006,STR-011,119,26,39,106,False
2024-01-01,BEV-007,STR-011,242,53,142,153,False
2024-01-01,BEV-008,STR-011,257,88,166,179,False
2024-01-01,BEV-009,STR-011,236,133,75,294,False
2024-01-01,BEV-010,STR-011,191,20,42,169,False
2024-01-01,BEV-011,STR-011,152,36,131,57,False
2024-01-01,BEV-012,STR-011,269,124,55,338,False
2024-01-01,BEV-013,STR-011,173,22,39,156,False
2024-01-01,BEV-014,STR-011,299,24,66,257,False
2024-01-01,BEV-015,STR-011,273,73,33,313,False
2024-01-01,BEV-016,STR-011,245,63,20,288,False
2024-01-01,BEV-017,STR-011,288,95,32,351,False
2024-01-01,BEV-018,STR-011,297,137,115,319,False
2024-01-01,BEV-019,STR-011,278,43,95,226,False
2024-01-01,BEV-020,STR-011,159,27,27,159,False
2024-01-01,BEV-001,STR-012,170,109,55,224,False
2024-01-01,BEV-002,STR-012,174,21,77,118,False
2024-01-01,BEV-003,STR-012,120,67,47,140,False
2024-01-01,BEV-004,STR-012,185,41,60,166,False
2024-01-01,BEV-005,STR-012,176,37,46,167,False
2024-01-01,BEV-006,STR-012,158,86,36,208,False
2024-01-01,BEV-007,STR-012,127,141,103,165,False
2024-01-01,BEV-008,STR-012,102,130,48,184,False
2024-01-01,BEV-009,STR-012,209,125,97,237,False
2024-01-01,BEV-010,STR-012,83,38,126,0,True
2024-01-01,BEV-011,STR-012,128,93,24,197,False
2024-01-01,BEV-012,STR-012,293,72,103,262,False
2024-01-01,BEV-013,STR-012,213,148,30,331,False
2024-01-01,BEV-014,STR-012,223,26,82,167,False
2024-01-01,BEV-015,STR-012,167,54,126,95,False
2024-01-01,BEV-016,STR-012,285,87,118,254,False
2024-01-01,BEV-017,STR-012,184,127,40,271,False
2024-01-01,BEV-018,STR-012,264,97,25,336,False
2024-01-01,BEV-019,STR-012,298,144,148,294,False
2024-01-01,BEV-020,STR-012,181,77,106,152,False
2024-01-01,BEV-001,STR-013,198,107,97,208,False
2024-01-01,BEV-002,STR-013,201,86,29,258,False
2024-01-01,BEV-003,STR-013,117,149,51,215,False
2024-01-01,BEV-004,STR-013,166,59,114,111,False
2024-01-01,BEV-005,STR-013,291,75,45,321,False
2024-01-01,BEV-006,STR-013,279,54,138,195,False
2024-01-01,BEV-007,STR-013,128,126,135,119,False
2024-01-01,BEV-008,STR-013,274,115,36,353,False
2024-01-01,BEV-009,STR-013,201,114,66,249,False
2024-01-01,BEV-010,STR-013,251,50,104,197,False
2024-01-01,BEV-011,STR-013,204,95,94,205,False
2024-01-01,BEV-012,STR-013,205,107,57,255,False
2024-01-01,BEV-013,STR-013,115,22,117,20,False
2024-01-01,BEV-014,STR-013,109,64,117,56,False
2024-01-01,BEV-015,STR-013,256,132,98,290,False
2024-01-01,BEV-016,STR-013,201,38,132,107,False
2024-01-01,BEV-017,STR-013,271,75,98,248,False
2024-01-01,BEV-018,STR-013,241,92,70,263,False
2024-01-01,BEV-019,STR-013,182,45,48,179,False
2024-01-01,BEV-020,STR-013,212,107,100,219,False
2024-01-01,BEV-001,STR-014,238,43,134,147,False
2024-01-01,BEV-002,STR-014,164,41,62,143,False
2024-01-01,BEV-003,STR-014,181,76,42,215,False
2024-01-01,BEV-004,STR-014,237,132,114,255,False
2024-01-01,BEV-005,STR-014,126,108,35,199,False
2024-01-01,BEV-006,STR-014,273,110,23,360,False
2024-01-01,BEV-007,STR-014,236,23,170,89,False
2024-01-01,BEV-008,STR-014,279,24,80,223,False
2024-01-01,BEV-009,STR-014,123,110,58,175,False
2024-01-01,BEV-010,STR-014,103,47,41,109,False
2024-01-01,BEV-011,STR-014,231,147,20,358,False
2024-01-01,BEV-012,STR-014,84,32,31,85,False
2024-01-01,BEV-013,STR-014,289,74,53,310,False
2024-01-01,BEV-014,STR-014,288,49,109,228,False
2024-01-01,BEV-015,STR-014,181,102,92,191,False
2024-01-01,BEV-016,STR-014,293,132,66,359,False
2024-01-01,BEV-017,STR-014,161,109,100,170,False
2024-01-01,BEV-018,STR-014,94,49,77,66,False
2024-01-01,BEV-019,STR-014,107,87,71,123,False
2024-01-01,BEV-020,STR-014,180,53,75,158,False
2024-01-01,BEV-001,STR-015,282,118,196,204,False
2024-01-01,BEV-002,STR-015,250,80,45,285,False
2024-01-01,BEV-003,STR-015,270,21,75,216,False
2024-01-01,BEV-004,STR-015,197,71,36,232,False
2024-01-01,BEV-005,STR-015,131,34,37,128,False
2024-01-01,BEV-006,STR-015,247,47,118,176,False
2024-01-01,BEV-007,STR-015,175,117,83,209,False
2024-01-01,BEV-008,STR-015,134,41,47,128,False
2024-01-01,BEV-009,STR-015,236,91,127,200,False
2024-01-01,BEV-010,STR-015,293,57,78,272,False
2024-01-01,BEV-011,STR-015,199,21,86,134,False
2024-01-01,BEV-012,STR-015,219,145,37,327,False
2024-01-01,BEV-013,STR-015,219,128,105,242,False
2024-01-01,BEV-014,STR-015,88,51,27,112,False
2024-01-01,BEV-015,STR-015,152,135,102,185,False
2024-01-01,BEV-016,STR-015,235,101,36,300,False
2024-01-01,BEV-017,STR-015,186,55,114,127,False
2024-01-01,BEV-018,STR-015,196,51,41,206,False
2024-01-01,BEV-019,STR-015,292,68,89,271,False
2024-01-01,BEV-020,STR-015,225,42,42,225,False
2024-01-01,BEV-001,STR-016,112,131,71,172,False
2024-01-01,BEV-002,STR-016,280,23,59,244,False
2024-01-01,BEV-003,STR-016,159,144,43,260,False
2024-01-01,BEV-004,STR-016,81,64,85,60,False
2024-01-01,BEV-005,STR-016,290,107,139,258,False
2024-01-01,BEV-006,STR-016,287,134,117,304,False
2024-01-01,BEV-007,STR-016,247,149,45,351,False
2024-01-01,BEV-008,STR-016,239,20,63,196,False
2024-01-01,BEV-009,STR-016,97,28,45,80,False
2024-01-01,BEV-010,STR-016,134,86,38,182,False
2024-01-01,BEV-011,STR-016,103,140,39,204,False
2024-01-01,BEV-012,STR-016,90,35,89,36,False
2024-01-01,BEV-013,STR-016,172,124,51,245,False
2024-01-01,BEV-014,STR-016,91,140,25,206,False
2024-01-01,BEV-015,STR-016,275,109,29,355,False
2024-01-01,BEV-016,STR-016,211,94,54,251,False
2024-01-01,BEV-017,STR-016,145,50,84,111,False
2024-01-01,BEV-018,STR-016,263,108,149,222,False
2024-01-01,BEV-019,STR-016,177,148,54,271,False
2024-01-01,BEV-020,STR-016,276,58,107,227,False
2024-01-01,BEV-001,STR-017,259,114,126,247,False
2024-01-01,BEV-002,STR-017,243,80,108,215,False
2024-01-01,BEV-003,STR-017,287,91,42,336,False
2024-01-01,BEV-004,STR-017,218,128,104,242,False
2024-01-01,BEV-005,STR-017,93,132,102,123,False
2024-01-01,BEV-006,STR-017,109,103,77,135,False
2024-01-01,BEV-007,STR-017,173,110,57,226,False
2024-01-01,BEV-008,STR-017,168,73,70,171,False
2024-01-01,BEV-009,STR-017,213,24,169,68,False
2024-01-01,BEV-010,STR-017,285,70,116,239,False
2024-01-01,BEV-011,STR-017,221,53,85,189,False
2024-01-01,BEV-012,STR-017,248,108,70,286,False
2024-01-01,BEV-013,STR-017,246,39,136,149,False
2024-01-01,BEV-014,STR-017,186,45,83,148,False
2024-01-01,BEV-015,STR-017,164,61,48,177,False
2024-01-01,BEV-016,STR-017,257,100,158,199,False
2024-01-01,BEV-017,STR-017,256,46,162,140,False
2024-01-01,BEV-018,STR-017,179,54,87,146,False
2024-01-01,BEV-019,STR-017,117,57,29,145,False
2024-01-01,BEV-020,STR-017,121,76,93,104,False
2024-01-01,BEV-001,STR-018,179,73,57,195,False
2024-01-01,BEV-002,STR-018,217,59,104,172,False
2024-01-01,BEV-003,STR-018,208,139,48,299,False
2024-01-01,BEV-004,STR-018,165,83,48,200,False
2024-01-01,BEV-005,STR-018,160,31,163,28,False
2024-01-01,BEV-006,STR-018,264,108,55,317,False
2024-01-01,BEV-007,STR-018,105,59,62,102,False
2024-01-01,BEV-008,STR-018,189,132,39,282,False
2024-01-01,BEV-009,STR-018,122,91,93,120,False
2024-01-01,BEV-010,STR-018,220,109,25,304,False
2024-01-01,BEV-011,STR-018,263,36,66,233,False
2024-01-01,BEV-012,STR-018,167,43,42,168,False
2024-01-01,BEV-013,STR-018,155,77,116,116,False
2024-01-01,BEV-014,STR-018,287,116,79,324,False
2024-01-01,BEV-015,STR-018,130,107,156,81,False
2024-01-01,BEV-016,STR-018,171,130,111,190,False
2024-01-01,BEV-017,STR-018,246,120,28,338,False
2024-01-01,BEV-018,STR-018,281,32,48,265,False
2024-01-01,BEV-019,STR-018,226,25,82,169,False
2024-01-01,BEV-020,STR-018,225,28,40,213,False
2024-01-01,BEV-001,STR-019,160,87,55,192,False
2024-01-01,BEV-002,STR-019,133,145,76,202,False
2024-01-01,BEV-003,STR-019,129,89,73,145,False
2024-01-01,BEV-004,STR-019,218,137,59,296,False
2024-01-01,BEV-005,STR-019,249,109,66,292,False
2024-01-01,BEV-006,STR-019,218,91,28,281,False
2024-01-01,BEV-007,STR-019,146,149,76,219,False
2024-01-01,BEV-008,STR-019,289,45,60,274,False
2024-01-01,BEV-009,STR-019,155,56,71,140,False
2024-01-01,BEV-010,STR-019,297,55,160,192,False
2024-01-01,BEV-011,STR-019,95,97,70,122,False
2024-01-01,BEV-012,STR-019,145,40,44,141,False
2024-01-01,BEV-013,STR-019,214,73,89,198,False
2024-01-01,BEV-014,STR-019,172,77,52,197,False
2024-01-01,BEV-015,STR-019,116,139,82,173,False
2024-01-01,BEV-016,STR-019,255,58,45,268,False
2024-01-01,BEV-017,STR-019,299,123,104,318,False
2024-01-01,BEV-018,STR-019,147,87,159,75,False
2024-01-01,BEV-019,STR-019,234,123,111,246,False
2024-01-01,BEV-020,STR-019,289,79,68,300,False
2024-01-01,BEV-001,STR-020,251,145,115,281,False
2024-01-01,BEV-002,STR-020,202,55,106,151,False
2024-01-01,BEV-003,STR-020,212,143,107,248,False
2024-01-01,BEV-004,STR-020,226,109,64,271,False
2024-01-01,BEV-005,STR-020,267,102,35,334,False
2024-01-01,BEV-006,STR-020,218,72,37,253,False
2024-01-01,BEV-007,STR-020,99,92,66,125,False
2024-01-01,BEV-008,STR-020,163,46,111,98,False
2024-01-01,BEV-009,STR-020,137,142,113,166,False
2024-01-01,BEV-010,STR-020,212,93,82,223,False
2024-01-01,BEV-011,STR-020,216,96,42,270,False
2024-01-01,BEV-012,STR-020,204,144,173,175,False
2024-01-01,BEV-013,STR-020,111,46,74,83,False
2024-01-01,BEV-014,STR-020,293,37,116,214,False
2024-01-01,BEV-015,STR-020,166,124,86,204,False
2024-01-01,BEV-016,STR-020,238,60,78,220,False
2024-01-01,BEV-017,STR-020,113,26,91,48,False
2024-01-01,BEV-018,STR-020,84,40,155,0,True
2024-01-01,BEV-019,STR-020,213,139,54,298,False
2024-01-01,BEV-020,STR-020,242,125,97,270,False
2024-01-01,BEV-001,STR-021,166,57,114,109,False
2024-01-01,BEV-002,STR-021,166,99,104,161,False
2024-01-01,BEV-003,STR-021,296,132,100,328,False
2024-01-01,BEV-004,STR-021,223,108,80,251,False
2024-01-01,BEV-005,STR-021,185,90,48,227,False
2024-01-01,BEV-006,STR-021,87,88,32,143,False
2024-01-01,BEV-007,STR-021,207,38,21,224,False
2024-01-01,BEV-008,STR-021,214,105,57,262,False
2024-01-01,BEV-009,STR-021,297,69,28,338,False
2024-01-01,BEV-010,STR-021,296,80,63,313,False
2024-01-01,BEV-011,STR-021,293,114,178,229,False
2024-01-01,BEV-012,STR-021,137,51,124,64,False
2024-01-01,BEV-013,STR-021,224,41,100,165,False
2024-01-01,BEV-014,STR-021,159,61,59,161,False
2024-01-01,BEV-015,STR-021,158,65,44,179,False
2024-01-01,BEV-016,STR-021,255,134,68,321,False
2024-01-01,BEV-017,STR-021,210,96,117,189,False
2024-01-01,BEV-018,STR-021,109,47,175,0,True
2024-01-01,BEV-019,STR-021,152,58,60,150,False
2024-01-01,BEV-020,STR-021,162,86,36,212,False
2024-01-01,BEV-001,STR-022,293,148,95,346,False
2024-01-01,BEV-002,STR-022,117,71,105,83,False
2024-01-01,BEV-003,STR-022,162,104,76,190,False
2024-01-01,BEV-004,STR-022,267,32,110,189,False
2024-01-01,BEV-005,STR-022,298,36,31,303,False
2024-01-01,BEV-006,STR-022,163,57,72,148,False
2024-01-01,BEV-007,STR-022,107,122,117,112,False
2024-01-01,BEV-008,STR-022,240,43,65,218,False
2024-01-01,BEV-009,STR-022,247,65,125,187,False
2024-01-01,BEV-010,STR-022,293,103,45,351,False
2024-01-01,BEV-011,STR-022,176,88,30,234,False
2024-01-01,BEV-012,STR-022,148,58,93,113,False
2024-01-01,BEV-013,STR-022,288,94,117,265,False
2024-01-01,BEV-014,STR-022,165,50,62,153,False
2024-01-01,BEV-015,STR-022,144,34,55,123,False
2024-01-01,BEV-016,STR-022,162,93,102,153,False
2024-01-01,BEV-017,STR-022,88,32,100,20,False
2024-01-01,BEV-018,STR-022,199,64,117,146,False
2024-01-01,BEV-019,STR-022,169,123,85,207,False
2024-01-01,BEV-020,STR-022,123,21,92,52,False
2024-01-01,BEV-001,STR-023,236,144,20,360,False
2024-01-01,BEV-002,STR-023,91,133,62,162,False
2024-01-01,BEV-003,STR-023,146,30,44,132,False
2024-01-01,BEV-004,STR-023,84,64,22,126,False
2024-01-01,BEV-005,STR-023,281,136,86,331,False
2024-01-01,BEV-006,STR-023,254,99,116,237,False
2024-01-01,BEV-007,STR-023,294,113,76,331,False
2024-01-01,BEV-008,STR-023,163,108,66,205,False
2024-01-01,BEV-009,STR-023,276,130,184,222,False
2024-01-01,BEV-010,STR-023,146,31,210,0,True
2024-01-01,BEV-011,STR-023,106,124,101,129,False
2024-01-01,BEV-012,STR-023,165,136,34,267,False
2024-01-01,BEV-013,STR-023,235,149,45,339,False
2024-01-01,BEV-014,STR-023,216,50,29,237,False
2024-01-01,BEV-015,STR-023,243,132,36,339,False
2024-01-01,BEV-016,STR-023,184,34,104,114,False
2024-01-01,BEV-017,STR-023,176,50,26,200,False
2024-01-01,BEV-018,STR-023,234,21,26,229,False
2024-01-01,BEV-019,STR-023,280,62,67,275,False
2024-01-01,BEV-020,STR-023,194,142,148,188,False
2024-01-01,BEV-001,STR-024,80,28,58,50,False
2024-01-01,BEV-002,STR-024,267,149,133,283,False
2024-01-01,BEV-003,STR-024,180,129,118,191,False
2024-01-01,BEV-004,STR-024,219,130,64,285,False
2024-01-01,BEV-005,STR-024,144,84,56,172,False
2024-01-01,BEV-006,STR-024,140,114,165,89,False
2024-01-01,BEV-007,STR-024,282,54,39,297,False
2024-01-01,BEV-008,STR-024,218,57,35,240,False
2024-01-01,BEV-009,STR-024,193,58,85,166,False
2024-01-01,BEV-010,STR-024,228,139,87,280,False
2024-01-01,BEV-011,STR-024,243,129,73,299,False
2024-01-01,BEV-012,STR-024,299,39,78,260,False
2024-01-01,BEV-013,STR-024,122,83,76,129,False
2024-01-01,BEV-014,STR-024,186,51,29,208,False
2024-01-01,BEV-015,STR-024,115,124,141,98,False
2024-01-01,BEV-016,STR-024,148,128,33,243,False
2024-01-01,BEV-017,STR-024,259,26,129,156,False
2024-01-01,BEV-018,STR-024,163,53,112,104,False
2024-01-01,BEV-019,STR-024,95,57,107,45,False
2024-01-01,BEV-020,STR-024,194,100,106,188,False
2024-01-01,BEV-001,STR-025,282,138,153,267,False
2024-01-01,BEV-002,STR-025,211,75,81,205,False
2024-01-01,BEV-003,STR-025,247,139,69,317,False
2024-01-01,BEV-004,STR-025,129,128,112,145,False
2024-01-01,BEV-005,STR-025,196,125,93,228,False
2024-01-01,BEV-006,STR-025,161,133,76,218,False
2024-01-01,BEV-007,STR-025,128,67,38,157,False
2024-01-01,BEV-008,STR-025,213,145,211,147,False
2024-01-01,BEV-009,STR-025,212,98,80,230,False
2024-01-01,BEV-010,STR-025,252,131,76,307,False
2024-01-01,BEV-011,STR-025,224,139,51,312,False
2024-01-01,BEV-012,STR-025,263,120,32,351,False
2024-01-01,BEV-013,STR-025,186,98,108,176,False
2024-01-01,BEV-014,STR-025,242,27,51,218,False
2024-01-01,BEV-015,STR-025,178,80,111,147,False
2024-01-01,BEV-016,STR-025,179,46,160,65,False
2024-01-01,BEV-017,STR-025,285,138,88,335,False
